ToyCar
id,AUC,pAUC
01,0.7913311688311689,0.6650148097516518
02,0.843654986522911,0.7661512271244149
03,0.6151913746630728,0.5409277911760534
04,0.8515363881401616,0.7006667612427294
Average,0.7754284795393286,0.6681901473237124

ToyConveyor
id,AUC,pAUC
01,0.71474375,0.5796381578947368
02,0.6148556338028168,0.525889547813195
03,0.7101694018932114,0.5779991854161661
Average,0.6799229285653428,0.5611756303746993

fan
id,AUC,pAUC
00,0.5661425061425062,0.4917884391568602
02,0.6910027855153204,0.5488931241753409
04,0.5995114942528735,0.5254083484573503
06,0.6958171745152354,0.5236915002186908
Average,0.6381184901064839,0.5224453530020605

pump
id,AUC,pAUC
00,0.6599999999999999,0.569377990430622
02,0.5917117117117118,0.5699383594120436
04,0.8677,0.6705263157894736
06,0.7388235294117647,0.5892672858617132
Average,0.7145588102808691,0.5997774878734631

slider
id,AUC,pAUC
00,0.9703370786516854,0.8595505617977528
02,0.7694382022471911,0.6244825547013602
04,0.9159550561797754,0.6723832052040213
06,0.6741573033707865,0.4861028976936724
Average,0.8324719101123595,0.6606298048492018

valve
id,AUC,pAUC
00,0.5885714285714286,0.5090667846085802
02,0.6170833333333333,0.5184210526315789
04,0.69125,0.5131578947368421
06,0.5305833333333333,0.4824561403508772
Average,0.6068720238095239,0.5057754680819696

